Food Item,Calories,Protein,Carbs,Fat
4.0,238,12.14,28.84,8.19
0.0,162,21.44,0.0,8.5
1.0,246,19.56,0.0,18.0
1.0,263,19.09,0.0,20.13
0.0,196,27.3,0.0,8.76
1.0,269,24.91,0.0,18.05
1.0,267,22.93,0.0,18.75
1.0,272,16.94,0.0,22.11
1.0,273,17.18,0.0,22.1
0.0,223,18.86,0.0,16.35
0.0,143,21.78,0.0,6.16
0.0,135,22.16,0.0,5.1
1.0,124,22.6,0.0,3.0
1.0,128,22.19,0.0,4.31
1.0,166,22.06,0.0,7.93
1.0,228,33.93,2.03,8.33
2.0,56,1.44,11.74,0.2
0.0,133,22.03,0.05,4.99
0.0,151,21.55,0.0,7.24
1.0,123,20.83,0.0,3.81
1.0,203,33.13,0.0,6.79
1.0,170,29.34,0.0,4.96
1.0,189,33.18,0.0,5.21
0.0,195,33.37,0.0,5.8
0.0,203,26.13,0.0,10.16
0.0,116,23.59,0.0,2.45
0.0,124,23.59,0.0,3.26
0.0,116,23.59,0.0,2.45
0.0,161,20.13,0.0,8.3
1.0,235,27.54,0.0,12.98
1.0,218,27.58,0.0,11.08
3.0,54,0.13,13.16,0.0
1.0,306,16.53,0.0,26.1
1.0,316,25.17,0.0,23.08
1.0,309,22.55,0.0,23.59
0.0,200,25.67,0.0,9.99
0.0,227,25.77,0.0,12.93
0.0,132,21.47,0.0,5.11
0.0,200,35.62,0.0,5.33
0.0,216,35.62,0.0,7.09
1.0,297,26.06,0.0,20.61
1.0,290,23.27,0.0,21.12
1.0,194,29.07,0.0,7.76
1.0,159,21.3,0.0,7.57
1.0,206,29.01,0.0,9.1
0.0,169,20.15,0.0,9.86
1.0,250,26.72,0.0,15.11
1.0,281,19.0,0.0,22.17
1.0,187,20.68,0.0,10.93
1.0,198,20.71,0.0,12.15
1.0,173,21.68,0.0,8.91
0.0,169,19.68,0.05,10.02
1.0,335,16.74,0.0,29.18
1.0,311,15.87,0.0,27.0
1.0,161,22.13,0.0,7.39
1.0,145,22.61,0.0,5.41
0.0,192,27.66,0.0,8.23
0.0,158,20.57,0.0,8.45
0.0,149,21.17,0.0,6.57
1.0,185,18.99,0.0,11.5
1.0,201,33.68,0.0,6.36
0.0,188,30.29,0.0,6.55
0.0,177,30.8,0.0,5.03
